description,unit,category,brand,spec_ref,is_major
Insulation Tape 3/4 Inch X10 Yards,nos,Electrical,,,
LED Flood Light,nos,Electrical,,,
"MCB 20 A 4 Pole 3, Phase",nos,Electrical,,,
MCB 6A,nos,Electrical,,,
MCB ABB 10 A x1 Pole L Grey,nos,Electrical,,,
MCB ABB 16 A X 1 Pole L Grey,nos,Electrical,,,
MCB ABB 16 Ax1 Pole L Grey,nos,Electrical,,,
MCB ABB 40 A x2 Pole L Grey,nos,Electrical,,,
MCB ABB 40 A x3 Pole L Grey,nos,Electrical,,,
MCB ABB 63 Ax 3 Pole L Grey,nos,Electrical,,,
MCB ABB 6A X 1 Pole L Grey,nos,Electrical,,,
Mounting Box Wall Double White,nos,Electrical,,,
PVC 25 Mm Clips,nos,Electrical,,,
PVC 25 Mm Elbow,nos,Electrical,,,
PVC 25 Mm Joint Sockets,nos,Electrical,,,
PVC 25 Mm Pipes,nos,Electrical,,,
PVC 25 Mm Valve Sockets,nos,Electrical,,,
PVC Back Box Patress 2 Gang 13 A,nos,Electrical,,,
PVC Faucet Socket 1/2 Inch,nos,Electrical,,,
PVC Faucetsockets,nos,Electrical,,,
PVC Joint Socket 1 Inch,nos,Electrical,,,
PVC Joint Socket 1/2 Inch,nos,Electrical,,,
PVC Joint Socket 2 Inch,nos,Electrical,,,
PVC Joint Socket Mp Thai 4 Inch Blue,nos,Electrical,,,
PVC Joint Sockets,nos,Electrical,,,
PVC Reducing Socket 1 Inch X1/2 Inch,nos,Electrical,,,
PVC Reducing Sockets,nos,Electrical,,,
PVC Solvent 500 G,nos,Electrical,,,
PVC Valve Socket 1/2 Inch Male,nos,Electrical,,,
PVC Valve Socket HP Thai 2 Inch Blue,nos,Electrical,,,
PVC Valve Sockets,nos,Electrical,,,
Plug Base 13 A 2 Gang,nos,Electrical,,,
Plug Base 15 A 2 Gang,nos,Electrical,,,
Plug Top ABB 13 A White,nos,Electrical,,,
Poker cable(1inch)for The Gasoline Machine,nos,Electrical,,,
Pull Wire Na 30M Red Black,roll,Electrical,,,
"RCCB 40 A,4POLE,3PHASE",nos,Electrical,,,
RCCB ABB 40Ax 2 Pole Grey,nos,Electrical,,,
RCCB Breaker 40 A,nos,Electrical,,,
Single Sunk Box,nos,Electrical,,,
Socket Bit 8mm,nos,Electrical,,,
Socket Switch 1 Gang X 15 A White,nos,Electrical,,,
Socket Switch 13 A White 1 Gang,nos,Electrical,,,
Socket Switch 2 Gang X 13 A White,nos,Electrical,,,
Switch 1 Gang X 1 Way White,nos,Electrical,,,
Switch 2 Gang X 1 Way White,nos,Electrical,,,
Terminal Block Connector,nos,Electrical,,,
Tester 3*75M Grey,nos,Electrical,,,
Tube Fixture 1 X 36W,nos,Electrical,,,
Tube Light 4 X 36W,nos,Electrical,,,
Two Gang Socket Switch 15 Amp,nos,Electrical,,,
Two Gang Sunk Box (Back Pattress),nos,Electrical,,,
Wire Brush,nos,Electrical,,,
Wire Connector 6mm 5A,nos,Electrical,,,
Wire Nail 1 1/2 Inch,kg,Electrical,,,
Wire Nail 1 Inch,kg,Electrical,,,
Wire Nail 2 Inch,kg,Electrical,,,
Wire Nail 3 Inch,kg,Electrical,,,
Wire Nail 4 Inch,kg,Electrical,,,
Engine Oil,pail,General,,,
Hydraulic Oil,ltr,General,,,
100mm (4 Inch ) PVC Pipe H/p,nos,Plumbing,,,
2 Inch End Cap,nos,Plumbing,,,
2 Inch P Gully Trap For Sink,nos,Plumbing,,,
2 Inch PVC Cap - Male,nos,Plumbing,,,
2 Inch Steel Screw,nos,Plumbing,,,
2 Inch X1 Inch Reducer,nos,Plumbing,,,
2 Inch X5 Inch Reducer,nos,Plumbing,,,
25mm (1 Inch ) Elbow H/p,nos,Plumbing,,,
25mm (1 Inch ) PVC Pipe H/p,nos,Plumbing,,,
50mm (2 Inch ) PVC Pipe H/p,nos,Plumbing,,,
5M Tape,nos,Plumbing,,,
63mm PPR Elbow,nos,Plumbing,,,
63mm PPR Pipe,nos,Plumbing,,,
7.5M Tape,nos,Plumbing,,,
Ball Valve 1 Inch,nos,Plumbing,,,
Ball Valve Lucky 1 Inch,nos,Plumbing,,,
Ball Valve Lucky 1/2 Inch,nos,Plumbing,,,
"Elbow 90 Degree - Ws B,100MM (4 Inch )",nos,Plumbing,,,
"Elbow 90 Degree - Ws B,55 Mm (2 Inch )",nos,Plumbing,,,
Flexible Gully Trap 1-1/2 Inch,nos,Plumbing,,,
Flexible Hose 4 Inch,m,Plumbing,,,
Foot Valve For (Main Pool) 4 Inch (Fittings),nos,Plumbing,,,
GI Steel Brackets,nos,Plumbing,,,
HDPE 63mm 50M,roll,Plumbing,,,
HDPE Elbow Butt Pn 10 63mm,nos,Plumbing,,,
HDPE Female Adapter Butt Pn 10 63mm,nos,Plumbing,,,
HDPE Hot Plate 160 Mm,nos,Plumbing,,,
HDPE TEE Butt Pn 10 63mm,nos,Plumbing,,,
HP 2 Inch PVC Elbow,nos,Plumbing,,,
HP 2 Inch PVC Faucet Elbow,nos,Plumbing,,,
HP 2 Inch PVC Pipe,nos,Plumbing,,,
Head Shower 102,nos,Plumbing,,,
Heavy Duty PVC Pipe Cement 1 Litre,can,Plumbing,,,yes
High Pressure PVC Glue - Big,nos,Plumbing,,,
Hose CLIP3 Inch,nos,Plumbing,,,
Hose Clip 1 Inch,nos,Plumbing,,,
Law Quality Threaded End Cap,nos,Plumbing,,,
Measuring Tape 3M,nos,Plumbing,,,
Measuring Tape 5M,nos,Plumbing,,,
Measuring Tape 7.5 M,nos,Plumbing,,,
Muslim Shower,nos,Plumbing,,,
Net Hose Berry Hose 3/4 Inch x50 Mtr Blu Clr,ft,Plumbing,,,
PPR Machine Set,nos,Plumbing,,,
PVC 1 Inch Elbow 45,nos,Plumbing,,,
PVC 1/2 Inch Elbow 45,nos,Plumbing,,,
PVC 1/2 Inch X 19 Ft,nos,Plumbing,,,
PVC 2 Inch Elbow 45,nos,Plumbing,,,
PVC 45 Elbow 4 Inch,nos,Plumbing,,,
PVC Elbow,nos,Plumbing,,,
PVC Elbow 45 Mp Thai 4 Inch,nos,Plumbing,,,
PVC Elbow 90 1 Inch,nos,Plumbing,,,
PVC Elbow 90 HP Thai 1/2 Inch,nos,Plumbing,,,
PVC Elbow 90 HP Thai 4 Inch Blue,nos,Plumbing,,,
PVC Elbow 90 Mp Thai 2 Inch,nos,Plumbing,,,
PVC End Cap HP Thai 2 Inch Blue,nos,Plumbing,,,
PVC End Caps,nos,Plumbing,,,
PVC Equal TEE,nos,Plumbing,,,
PVC Faucet Elbow 1/2 Inch,nos,Plumbing,,,
PVC Faucet TEE 1/2 Inch,nos,Plumbing,,,
"PVC Floor Drain 1 1/2 Inch , 4 Inch X4 Inch",nos,Plumbing,,,
PVC Pipe 1 Inch X 19 Ft,nos,Plumbing,,,
PVC Pipe 2 Inch,nos,Plumbing,,,
PVC Pipe 4 Inch,nos,Plumbing,,,
PVC Pipe Cutter 1/2 Inch - 2 Inch,nos,Plumbing,,,
PVC Pipes,nos,Plumbing,,,
PVC Puddle Collars,nos,Plumbing,,,
PVC R TEE Thai 4 Inch,nos,Plumbing,,,
PVC Reducing TEE,nos,Plumbing,,,
PVC Solvents,nos,Plumbing,,,
PVC TEE 1 Inch,nos,Plumbing,,,
PVC TEE 1/2 Inch,nos,Plumbing,,,
PVC TEE Mp Thai 2 Inch,nos,Plumbing,,,
PVC TEE Mp Thai 4 Inch Blue,nos,Plumbing,,,
PVC Union 4 Inch,nos,Plumbing,,,
PVC Valves,nos,Plumbing,,,
PVC Y TEE Elephant 4 Inch,nos,Plumbing,,,
Pressure Testing Pump,nos,Plumbing,,,
Pressure Testing Pump (Manual),nos,Plumbing,,,
Puddle Flange Sets With Nut And Bolt,nos,Plumbing,,,
Rubber Bellow,nos,Plumbing,,,
Scotch Tape 3M 3/4 Inch X 30 Ft Black,nos,Plumbing,,,
Sealant Tape,nos,Plumbing,,,
Sink 82 X 47CM,nos,Plumbing,,,
Soft Close Seat Cover (Toilet),nos,Plumbing,,,
Solvent Cement Lesso 500ML Blue,nos,Plumbing,,,yes
Solvent Cement PVC Glue 500ML,nos,Plumbing,,,yes
Square Toilet Seat,nos,Plumbing,,,
Steel Cut Off Machine (Maktec),nos,Plumbing,,,
Steel Cut Off Wheel 14 Inch,nos,Plumbing,,,
"TEE - Ws B, 55 Mm (2 Inch )",nos,Plumbing,,,
Thread Seal Tape 19MMX0.2 X 15mm,nos,Plumbing,,,
Toilet Cistern Water Tank,nos,Plumbing,,,
Vackson Submersible Pump 1.5 HP 2 Inch,nos,Plumbing,,,
Water Bar,nos,Plumbing,,,
"Water Bar 150MM, 50M",roll,Plumbing,,,
Water Tap 1/2 Inch,nos,Plumbing,,,
Barricade For Safety,nos,Safety,,,
Dust Masks,nos,Safety,,,
Gloves,pair,Safety,,,
"Gum Boots ( 40,41)",nos,Safety,,,
"Gum Boots 41,42",pair,Safety,,,
Rain Coat Single Layer Reflective,nos,Safety,,,
Reflective Vest Green,nos,Safety,,,
Reflective Vest Orange,nos,Safety,,,
Rubber Hand Gloves,pair,Safety,,,
Safety Glass White,nos,Safety,,,
Safety Helmet White,nos,Safety,,,
Safety Helmet Yellow,nos,Safety,,,
1/2 Inch GI Pipe (Thick),nos,Structural,,,
1/4 Inch GI Pipe (Thick),nos,Structural,,,
10mm Steel (Deformed Bars),nos,Structural,,,yes
12mm Plywood,nos,Structural,,,
12mm Shuttering Plywood,nos,Structural,,,yes
12mm Shuttering Plywood (Coated),nos,Structural,,,yes
12mm Steel (Deformed Bars),nos,Structural,,,yes
12mm Tor Steel,nos,Structural,,,yes
16 Mm Tor Steel,nos,Structural,,,yes
16mm Tor Steel,nos,Structural,,,yes
20mm Tor Steel,nos,Structural,,,yes
6mm Steel (Rebar),nos,Structural,,,yes
6mm Tor Steel,nos,Structural,,,yes
8mm Mild Steel,nos,Structural,,,
Acrow Jack (Adj Props),nos,Structural,,,
Barbending Machine (Rebar Bending),nos,Structural,,,yes
Binding Wire,kg,Structural,,,
Binding Wire Cutter,nos,Structural,,,
Chicken Mesh,metres,Structural,,,
Coach Screw Wood Type Hex Washer 2 Inch,box,Structural,,,
Coach Screw Wood Type Hex Washer 3 Inch,box,Structural,,,
Coach Screw Wood Type Hex Washer 4 Inch,box,Structural,,,
Film Faced Plywood 12mm,nos,Structural,,,
GI Clamps,nos,Structural,,,
GI Pipes 1.5 Inch,nos,Structural,,,
Mobile Scaffolding Set,nos,Structural,,,
Pine Timber (50 X 150 X 4800MM),nos,Structural,,,
Plywood 12mm (Normal),nos,Structural,,,
Plywood 6mm,nos,Structural,,,
Steel Self Drilling Screws 3 Inch,nos,Structural,,,
Steel Self Drilling Screws 4 Inch,nos,Structural,,,
Timber Planks 2 Inch X 6 Inch,nos,Structural,,,
1 Inch Portable Electrical Concrete Vibrator Motor,nos,Tools & Equipment,,,
1.5 Inch Portable Electric Concrete Vibrator Motor (Poker),nos,Tools & Equipment,,,
1.5 Inch Portable Electrical Concrete Vibrator Motor,nos,Tools & Equipment,,,
10mm Pin Plate (For Barbending),nos,Tools & Equipment,,,
185 Mm Circular Saw Blade (MT583) Maktec By Makita,nos,Tools & Equipment,,,
"3D Laser , Master Pro",nos,Tools & Equipment,,,
6mm Pin Plate (For Barbending),nos,Tools & Equipment,,,
9 Inch Circular Saw Blade,nos,Tools & Equipment,,,
Air Nailer,nos,Tools & Equipment,,,
Angle Grinder 4 Inch,nos,Tools & Equipment,,,
Angle Grinder 4 Inch Makita,nos,Tools & Equipment,,,
Auto Level (Sokkia),nos,Tools & Equipment,,,
Belt Sander 76 X 457mm (Bosch),nos,Tools & Equipment,,,
Belt Sander 76 X 457mm (Makita),nos,Tools & Equipment,,,
"Blower, Makita UB1103",nos,Tools & Equipment,,,
Chain Saw,nos,Tools & Equipment,,,
Circular Saw 185MM(7-1/4 Inch )(Maktec),nos,Tools & Equipment,,,
Concrete Mixer Machine (2 Bags & 1 Bags),nos,Tools & Equipment,,,
Concrete VIBRATOREY20+F+C,nos,Tools & Equipment,,,
Concrete Vibrator Lead,nos,Tools & Equipment,,,
Concrete Vibrator Machine(gasoline),nos,Tools & Equipment,,,
Cordless Circular Saw,nos,Tools & Equipment,,,
Cordless Screwdriver,nos,Tools & Equipment,,,
Degree Cut Off Machine D1,nos,Tools & Equipment,,,
Degree Cut Off Machine D2,nos,Tools & Equipment,,,
Degree Cut Off Machine D3,nos,Tools & Equipment,,,
Degree Cut Off Machine D4,nos,Tools & Equipment,,,
Diesel Pump Kipor (KDP20),nos,Tools & Equipment,,,
Disk Sander,nos,Tools & Equipment,,,
Drill Bits 4mm,nos,Tools & Equipment,,,
Drill Bits 5mm,nos,Tools & Equipment,,,
Drill Bits 6mm,nos,Tools & Equipment,,,
Drilling Machine,nos,Tools & Equipment,,,
Edon Angle Grinder Machine 4 Inch,nos,Tools & Equipment,,,
Finishing Sander,nos,Tools & Equipment,,,
Heat Gun (Makita),nos,Tools & Equipment,,,
Hilti,nos,Tools & Equipment,,,
Impact Driver,nos,Tools & Equipment,,,
Jack Hammer,nos,Tools & Equipment,,,
Jig Saw Machine,nos,Tools & Equipment,,,
Levelling Staff,nos,Tools & Equipment,,,
Orbit Sander,nos,Tools & Equipment,,,
Planer,nos,Tools & Equipment,,,
Planer Belt (82MM),nos,Tools & Equipment,,,
Planer Blade (82MM),nos,Tools & Equipment,,,
"Pneumatic Nail Gun, F50",nos,Tools & Equipment,,,
Pumpkin Cutoff 14 Inch 355mm,nos,Tools & Equipment,,,
Random Orbit Sander,nos,Tools & Equipment,,,
Rotary Drill,nos,Tools & Equipment,,,
Rotary Hammer (Bosch),nos,Tools & Equipment,,,
Rotary Hammer (Makita),nos,Tools & Equipment,,,
Sander 114 X 102mm (3 1/2 X 4 Inch ),nos,Tools & Equipment,,,
Shimge (Submersible Pump) 2 Inch 1.5 HP,nos,Tools & Equipment,,,
Stanley Cut Off 14 Inch SSC22,nos,Tools & Equipment,,,
Submersible Pump 2 Inch (Hbt) (Qd X 10-16-0.75),nos,Tools & Equipment,,,
Submersible Pump 3 Inch (Hbt)(qd X 10-16-0.75),nos,Tools & Equipment,,,
Tripod Stand,nos,Tools & Equipment,,,
Water Jet Machine,nos,Tools & Equipment,,,
Welding Machine,nos,Tools & Equipment,,,
Welding Rods,nos,Tools & Equipment,,,
Wood Flat PC Drill Bits,nos,Tools & Equipment,,,
